职位名,公司名,工作地点,薪资,发布日期
"

                    SA - Python Development & Modeling - Digital Solutions_SH                
",PwC 普华永道,上海,,10-18
"

                    Python开发工程师                
",“前程无忧”51job.com（上海）,上海,,10-18
"

                    Python实习生                
",唐山趣编程教育科技有限公司,唐山,4-5万/年,10-18
"

                    Python开发工程师                
",深圳学达科技有限公司,深圳-南山区,1-1.2万/月,10-18
"

                    少儿编程讲师（python/c++）                
",达内时代科技集团有限公司,北京-大兴区,1-1.5万/月,10-18
"

                    Java/Python工程师                
",金卡智能集团股份有限公司,杭州,1-1.5万/月,10-18
"

                    python教师                
",广州编辅侠教育科技有限公司,广州-番禺区,6-8千/月,10-18
"

                    Python开发实习生                
",西安天服至兴网络科技有限公司,重庆,3-4.5千/月,10-18
"

                    Python开发工程师                
",图玛深维医疗科技（北京）有限公司...,苏州-工业园区,1-2万/月,10-18
"

                    高级Python工程师（Leader）-QM201914                
",杭州求美网络科技有限公司,杭州-滨江区,2-2.5万/月,10-18
"

                    Python（外派银行）                
",香港观复国际拍卖有限公司,深圳-南山区,0.8-1.1万/月,10-18
"

                    Python开发实习生                
",杭州创呗网络科技有限公司,杭州-滨江区,200元/天,10-18
"

                    Python开发-浦东新区-H0211018                
",联合服务（香港）有限公司,上海-浦东新区,1-1.5万/月,10-18
"

                    python开发                
",鲜生活冷链物流有限公司,成都-锦江区,1-1.5万/月,10-18
"

                    Python开发工程师                
",航天中软（北京）信息技术有限公司...,北京,0.8-1.5万/月,10-18
"

                    python大数据分析工程师                
",东营米文网络科技有限公司,东营,1-2万/月,10-18
"

                    Python开发工程师                
",深圳市火神投资管理有限公司,深圳-福田区,0.8-1万/月,10-18
"

                    ScratchC++Python编程教师                
",广州教教者教育信息咨询有限公司,广州-海珠区,0.4-1万/月,10-18
"

                    Python讲师                
",重庆粤嵌科技有限公司,成都-青羊区,0.8-1万/月,10-18
"

                    Python开发工程师                
",广州竞德信息技术有限公司,广州-天河区,1.2-1.6万/月,10-18
"

                    高级Python算法工程师                
",亿翰智库,上海-静安区,2-2.5万/月,10-18
"

                    Python Web开发工程师                
",杭州紫水磐科技有限公司,杭州-滨江区,7-9千/月,10-18
"

                    python\c++\c教师（石龙、常平同时招聘）                
",东莞市海豚教育科技有限公司,东莞-石龙镇,6-8千/月,10-18
"

                    C++,python开发工程师                
",杭州金时资产管理有限公司,杭州-西湖区,15-50万/年,10-18
"

                    Python 人工智能开发                
",金华佳程供应链管理有限公司,金华,7-9千/月,10-18
"

                    Python机器学习工程师                
",广州佰锐网络科技有限公司,广州,1.2-2万/月,10-18
"

                    Python少儿编程老师                
",成都熊猫编程教育科技有限公司,成都-青羊区,0.8-1万/月,10-18
"

                    Python开发工程师                
",深圳神木源科技有限公司,深圳-宝安区,6-8千/月,10-18
"

                    Python开发工程师                
",深圳神木源科技有限公司,深圳-龙岗区,6-8千/月,10-18
"

                    python爬虫开发工程师（双休+奖金）                
",深圳泽派信息技术有限公司,东莞-南城区,4.5-8千/月,10-18
"

                    ( [ python开发工程师 ] )                
",深圳市运维软件有限公司,深圳-南山区,4-8千/月,10-18
"

                    python 开发工程师                
",善诚科技发展（上海）有限公司,无锡-无锡新区,6-8千/月,10-18
"

                    Python开发工程师                
",宏兆集团,深圳-南山区,0.8-1.5万/月,10-18
"

                    Python                
",成都华栖云科技有限公司,成都,,10-18
"

                    Python软件工程师_实习岗（南京）                
",亚信科技（成都）有限公司,南京,,10-18
