职位名,公司名,工作地点,薪资,发布日期
"

                    阿里集团-Java研发工程师-企业云管理平台                
",阿里巴巴集团,北京,,10-17
"

                    生态金融-Java资深架构师                
",美团点评,上海-长宁区,3-4万/月,10-17
"

                    Java开发工程师                
",中国电信股份有限公司上海研究院,上海-浦东新区,20-35万/年,10-17
"

                    软件开发工程师（Java）                
",华为技术有限公司,南京-雨花台区,15-22万/年,10-17
"

                    Java开发工程师                
",广州夏晖物流有限公司成都分公司,成都-双流区,,10-17
"

                    Java开发工程师                
",同程艺龙,苏州,1-1.5万/月,10-17
"

                    Java开发工程师                
",江苏富士通通信技术有限公司,苏州-高新区,0.6-1万/月,10-17
"

                    Java讲师                
",如皋中软国际信息技术有限公司,常州-武进区,0.6-1.2万/月,10-17
"

                    Java中级开发工程师                
",航天信息江苏有限公司苏州分公司,苏州,0.6-1万/月,10-17
"

                    高级JAVA开发工程师(APP)(J20627)                
",京东方健康投资管理有限公司,北京-朝阳区,1.5-3万/月,10-17
"

                    移动平台后台开发工程师（java方向）                
",国泰君安期货有限公司,上海,25-50万/年,10-17
"

                    JAVA开发工程师                
",航天信息股份有限公司广州航天软件...,广州-天河区,0.6-1.5万/月,10-17
"

                    Java软件工程师                
",上海南康科技有限公司,上海,0.6-1万/月,10-17
"

                    Java开发工程师                
",广州智扫技术服务有限公司,广州-海珠区,1-1.5万/月,10-17
"

                    Java软件开发工程师（靠近2号线威宁路站）                
",上海求步信息系统有限公司,上海-长宁区,0.8-1万/月,10-17
"

                    Java开发工程师                
",马上消费金融股份有限公司,重庆,0.8-1.3万/月,10-17
"

                    Java开发工程师                
",深圳市华傲数据技术有限公司,大连-沙河口区,0.8-1.5万/月,10-17
"

                    Java架构师                
",湖南维益智信智能科技有限公司,长沙-芙蓉区,1.3-1.8万/月,10-17
"

                    Java开发工程师（近地铁）                
",深圳市泰帝斯科技有限公司,深圳-龙华新区,6-8千/月,10-17
"

                    JAVA开发工程师                
",中铁建网络信息科技有限公司,北京,,10-17
"

                    开发项目经理(java方向)                
",武汉崧岳科技有限公司,武汉-东湖新技...,1.5-2万/月,10-17
"

                    Java开发工程师                
",深圳先牛信息技术有限公司,深圳-南山区,0.7-1.6万/月,10-17
"

                    java服务端程序（3年经验）                
",上海姚际信息科技有限公司,上海-徐汇区,1.5-3万/月,10-17
"

                    软件编程（Java/web）计算机开发实习生                
",合肥优创云软件科技有限公司,合肥-蜀山区,4.5-6千/月,10-17
"

                    Java 专家                
",东莞市海映广告传媒有限公司,异地招聘,60-80万/年,10-17
"

                    Java工程师                
",云南腾云信息产业有限公司,昆明,12-22.5万/年,10-17
"

                    Java后台开发工程师                
",北京天意君泰科技有限公司,北京-朝阳区,1.2-2万/月,10-17
"

                    Java开发工程师（深圳）                
",上海恒格信息科技有限公司,深圳-福田区,1.5-2万/月,10-17
"

                    Java高级开发工程师                
",北京华胜云图科技有限公司,北京-朝阳区,1.5-2.5万/月,10-17
"

                    高级Java开发工程师                
",青岛民航凯亚系统集成有限公司,青岛-城阳区,18-30万/年,10-17
"

                    JAVA架构师 - 智慧医疗平台                
",广东博成网络科技有限公司,广州-海珠区,2-3万/月,10-17
"

                    Java高级开发工程师                
",陕西集群物联网服务管理股份有限公...,西安-雁塔区,1-1.5万/月,10-17
"

                    JAVA开发                
",成都金秋行健康管理有限公司,成都-青羊区,0.5-2万/月,10-17
"

                    Java初级开发工程师（临地铁）                
",广州天朝文化传播有限公司,广州-天河区,4.5-6千/月,10-17
"

                    Java开发实习生                
",青岛好驻大数据科技有限公司,青岛-市北区,4.5-6千/月,10-17
"

                    Java软件工程师                
",上海届远信息技术有限公司,上海-宝山区,0.8-1万/月,10-17
"

                    Java开发工程师                
",浙江帕特纳服饰发展有限公司,绍兴,6-8千/月,10-17
"

                    Java开发工程师                
",安徽富驰信息技术有限公司,合肥,0.8-1.6万/月,10-17
"

                    Java开发工程师                
",上海汉得信息技术股份有限公司,上海-静安区,1-1.5万/月,10-17
"

                    Java架构师                
",东莞市创慧教育信息科技有限公司,东莞-南城区,2-3万/月,10-17
"

                    Java开发工程师                
",哦加哦网络科技（上海）有限公司,上海-静安区,0.8-1.7万/月,10-17
"

                    Java高级开发工程师                
",魔方元科技,成都-锦江区,1.2-1.8万/月,10-17
"

                    JAVA开发工程师（越秀区）                
",广州煜晨信息科技有限公司,广州-越秀区,1-1.5万/月,10-17
"

                    Java高级开发工程师                
",上海凯融信息科技有限公司,上海-普陀区,1.5-2.5万/月,10-17
"

                    Java开发工程师                
",北京星宇三鼎科技有限公司,北京-海淀区,0.9-1.3万/月,10-17
"

                    Java初级开发工程师                
",福州量子中金数码技术有限公司,福州-晋安区,0.5-1万/月,10-17
"

                    Java开发工程师                
",上海泛微网络科技股份有限公司,苏州-工业园区,0.8-1万/月,10-17
"

                    Java高级软件开发工程师                
",深圳市协尔信息系统有限公司武汉分...,武汉-洪山区,0.8-1.2万/月,10-17
"

                    Java开发工程师                
",福建未来无线信息技术有限公司,福州-晋安区,0.6-1.5万/月,10-17
"

                    初级Java程序开发助理                
",湖北华体康健康科技有限公司,武汉-洪山区,5-8千/月,10-17
"

                                    java开发经理                                
",上海美武信息技术有限公司,上海-闵行区,2.5-3.5万/月,10-17
"

                                    JAVA工程师                                
",珠海学友教育科技股份有限公司,珠海,0.6-1万/月,10-17
"

                                    Java游戏软件开发（五险+旅游）                                
",湖北省零度银色冰雪实业有限公司,武汉-洪山区,5-8千/月,10-17
"

                                    Java开发工程师                                
",湖北融汇信息科技有限公司,武汉-武昌区,5-6千/月,10-17
"

                                    Java开发工程师                                
",广州市小犬吠吠健康科技有限公司,广州-海珠区,1-1.8万/月,10-17
"

                                    Java开发实习生（五险一金）                                
",厦门五颗星信息科技有限公司,厦门,3-4.5千/月,10-17
"

                                    Java开发工程师                                
",广东思顿科技有限公司,中山,0.5-1万/月,10-17
"

                                    初级Java开发工程师                                
",厦门谦迅达网络科技有限公司,厦门,4-6千/月,10-17
"

                                    Java高级开发工程师（南京）                                
",上海瓦杜信息技术有限公司,南京-六合区,1-3万/月,10-17
"

                                    Java开发工程师                                
",成都市文景智旅网络科技有限公司,成都-高新区,1-1.5万/月,10-17
"

                                    Java开发工程师                                
",武汉云聚兴财科技有限公司,武汉-武昌区,0.4-1万/月,10-17
"

                                    Java高级开发工程师                                
",上海九鸽信息科技有限公司,上海-长宁区,1.5-2万/月,10-17
"

                                    Java开发工程师                                
",泉后（广州）生物科技有限公司,广州-白云区,1-1.5万/月,10-17
"

                                    JAVA高级开发工程师（财务线）                                
",百丽新零售,深圳-南山区,1.8-2.8万/月,10-17
"

                                    Java开发工程师                                
",苏州工业园区测绘地理信息有限公司,苏州-工业园区,0.6-1.4万/月,10-17
"

                                    Java后台架构工程师                                
",青岛浩大海洋生物科技股份有限公司,青岛-城阳区,7-9千/月,10-17
"

                                    Java开发工程师                                
",上海芮想信息科技有限公司,上海-长宁区,1.6-2.2万/月,10-17
"

                                    高级Java开发工程师                                
",大连东软思维科技发展有限公司,上海-长宁区,1.8-3万/月,10-17
"

                                    java工程师（YYCP1hsp）                                
",北京东方国信科技股份有限公司,北京,1.2-2.4万/月,10-17
"

                                    Java高级开发工程师                                
",北京英赛虎信息技术有限责任公司,北京-海淀区,1.2-2.5万/月,10-17
"

                                    Java高级开发工程师（金融科技）                                
",上海指旺信息科技有限公司,上海-宝山区,1.5-2.5万/月,10-17
"

                                    Java高级开发工程师                                
",普康迪（北京）数码科技股份有限公司,沈阳,0.8-1.2万/月,10-17
"

                                    Java高级开发工程师                                
",江苏谷德运维信息技术有限公司,南京-江宁区,1.8-2.5万/月,10-17
"

                                    Java开发工程师（3-4年经验）                                
",上海金指软件技术有限公司,上海-浦东新区,1.2-1.8万/月,10-17
"

                                    2020届-Java研发实习生                                
",北京亚鸿世纪科技发展有限公司,北京-海淀区,4-8千/月,10-17
"

                                    android、java开发工程师                                
",深圳市天狐互娱科技有限公司,深圳-龙岗区,1-1.5万/月,10-17
"

                                    双休JAVA开发工程师                                
",杭州翰禹信息技术有限公司,杭州-萧山区,1-1.5万/月,10-17
"

                                    Java开发工程师                                
",上海红星美凯龙网络技术有限公司,上海-闵行区,1.5-2.5万/月,10-17
"

                                    Java高级开发工程师                                
",深圳市德富莱智能科技股份有限公司,深圳-宝安区,1-1.5万/月,10-17
"

                                    知名上市企业Java开发工程师                                
",万宝盛华企业管理咨询（上海）有限...,上海-长宁区,1.3-1.7万/月,10-17
"

                                    Java开发工程师                                
",南京英斯特网络科技有限公司,南京-秦淮区,0.7-1.2万/月,10-17
"

                                    ERP开发顾问（.net/java）                                
",无锡优服普联信息科技有限公司,异地招聘,7.5-8.5万/年,10-17
"

                                    Java高级开发工程师                                
",武汉市三环电脑技术有限公司,武汉,1-1.5万/月,10-17
"

                                    Java高级开发工程师                                
",广州数梦未来科技有限公司,广州-天河区,1-2万/月,10-17
"

                                    Java开发工程师                                
",上海浩方信息技术有限公司,天津-东丽区,1.3-1.8万/月,10-17
"

                                    Java资深开发工程师                                
",深圳市云图数字科技有限公司,深圳,3-4万/月,10-17
"

                                    Java中高级开发工程师                                
",上海东富龙智能控制技术有限公司,上海-闵行区,1.5-2.5万/月,10-17
"

                                    Java初级开发工程师                                
",深圳市瑞源祥橡塑制品有限公司,深圳-南山区,0.8-1.2万/月,10-17
"

                                    Java开发工程师                                
",上海迈志信息科技有限公司,上海-黄浦区,0.8-1万/月,10-17
"

                                    Java开发工程师                                
",四川浦思金融服务外包有限公司,成都,6-8千/月,10-17
"

                                    java开发工程师                                
",泛微天津,天津-南开区,6-8千/月,10-17
"

                                    Java开发工程师                                
",浙江远传信息技术股份有限公司,银川,0.6-1.2万/月,10-17
"

                                    Java数据开发助理/双休                                
",湖北华奥星空体育产业联盟发展有限...,武汉-洪山区,4.5-7.5千/月,10-17
"

                                    Java开发工程师                                
",北京旭豪科技有限公司,北京-昌平区,0.8-1万/月,10-17
"

                                    Java中级开发工程师                                
",广州十分网络技术有限公司,广州-番禺区,1-1.6万/月,10-17
"

                                    Java高级开发工程师                                
",大连智仁智矿科技有限公司,大连-高新园区,0.6-1.1万/月,10-17
"

                                    Java开发高级工程师                                
",江苏隆创信息技术有限公司,南京,1.5-2万/月,10-17
"

                                    Java服务器开发工程师                                
",上海孚盟软件有限公司,上海-闵行区,1-2.5万/月,10-17
"

                                    Java开发工程师                                
",深圳市洋贸国际电子商务有限公司,深圳-南山区,1.2-1.8万/月,10-17
"

                                    大数据工程师(Java方向)                                
",康成投资（中国）有限公司----大润...,上海-静安区,1-2万/月,10-17
"

                    Java实习生                
",西安天服至兴网络科技有限公司,重庆,4.5-6千/月,10-17
"

                    Java开发工程师                
",深圳市劳资创联科技有限公司,深圳-龙岗区,0.8-1.6万/月,10-17
"

                    Java开发工程师                
",上海朗光企业管理咨询有限公司,上海-闵行区,0.8-1万/月,10-17
"

                    Java高级开发工程师                
",广西车便捷环保科技有限公司,广州-海珠区,1.5-2万/月,10-17
"

                    Java工程师                
",深圳市振耀科技有限公司,深圳-龙岗区,0.7-1.2万/月,10-17
"

                    Java开发工程师                
",上海秉坤数码科技有限公司,上海-黄浦区,1-1.5万/月,10-17
"

                    JAVA高级软件工程师                
",广东铭太信息科技有限公司,广州,1.5-2万/月,10-17
"

                    Java开发工程师（双休+五险一金）                
",湖南文盾信息技术有限公司,长沙-开福区,0.5-1万/月,10-17
"

                    高级Java开发工程师                
",长沙迪迈数码科技股份有限公司,长沙-岳麓区,0.8-1.5万/月,10-17
"

                    Java中级软件工程师                
",上海奇昭电子商务有限公司,上海-黄浦区,0.8-1万/月,10-17
"

                    JAVA高级工程师                
",广州源典科技有限公司,广州-黄埔区,1-2万/月,10-17
"

                    Java高级开发工程师                
",深圳市天一泓电讯有限公司,深圳,1.5-2万/月,10-17
